oversubscription,failure_rate_per_node_day,n_pool,productive_accelerators,productive_per_pool
1.0,0.001,34411,20505.704171194695,0.5959055003107929
1.0,0.001,36784,21558.67222003761,0.5860883052424317
1.0,0.001,39289,22632.508658735886,0.5760520415061693
1.0,0.001,42057,23776.50516168587,0.565340018586344
1.0,0.001,44958,24929.020662244475,0.5544957663206654
1.0,0.001,48122,26135.43828336148,0.5431078983284461
1.0,0.001,51550,27385.719419405053,0.5312457695325907
1.0,0.001,55110,28625.225604590716,0.5194198077407134
1.0,0.001,59065,29936.321644577485,0.5068369024731649
1.0,0.001,63152,31222.492798275194,0.4944022801855079
1.0,0.001,67503,32519.752498079077,0.48175269985154845
1.0,0.001,72249,33856.484815461874,0.46860835188669564
1.0,0.001,77391,35218.32213912688,0.4550699970167963
1.0,0.001,82796,36560.59591936286,0.4415744229112863
1.0,0.001,88597,37907.20262723627,0.4278610181748397
1.0,0.001,94793,39246.42218472407,0.41402236646929697
1.0,0.001,101385,40567.98843156232,0.40013797338425133
1.0,0.001,108505,41886.61225417751,0.38603393626263777
1.0,0.001,116152,43188.31817636685,0.3718258676248954
1.0,0.001,124194,44441.0518771856,0.35783573986815465
1.0,0.001,132895,45675.65391281006,0.3436973092502356
1.0,0.001,135005,45957.30465170399,0.34041187105443493
1.0,0.005,4219,3118.316839046441,0.7391127847941316
1.0,0.005,4351,3209.434812337624,0.7376315358165074
1.0,0.005,4483,3300.2263095398207,0.7361646909524472
1.0,0.005,4615,3390.6939799206843,0.7347115882818385
1.0,0.005,4747,3480.8403859670375,0.73327162122752
1.0,0.005,4879,3570.6680094954186,0.7318442323212582
1.0,0.005,5010,3660.1792571564324,0.7305747020272321
1.0,0.005,5142,3749.376465407961,0.7291669516546015
1.0,0.005,5274,3838.2619050215117,0.7277705546115874
1.0,0.005,5406,3926.8377851766545,0.7263850878980123
1.0,0.005,5538,4015.106257190706,0.7250101583948548
1.0,0.005,5670,4103.069417924773,0.7236453999867325
1.0,0.005,5801,4190.729312901077,0.7224149823997719
1.0,0.005,5933,4278.087939162786,0.721066566519937
1.0,0.005,6065,4365.147247903032,0.7197274934712335
1.0,0.005,6197,4451.909146886434,0.7183974740820452
1.0,0.005,6329,4538.375502684211,0.7170762367963677
1.0,0.005,6724,4795.81876324555,0.7132389594356856
1.0,0.005,7252,5135.282947922107,0.7081195460455195
1.0,0.005,7779,5470.234820926036,0.7032054018416295
1.0,0.005,8306,5800.77277576843,0.6983834307450554
1.0,0.005,8834,6126.9892675719,0.6935690816812203
1.0,0.005,9493,6528.815435298127,0.6877504935529472
1.0,0.005,10152,6923.971090266201,0.6820302492381994
1.0,0.005,10811,7313.012433698432,0.6764418123853881
1.0,0.005,11602,7771.740998258392,0.6698621787845537
1.0,0.005,12393,8221.831081053162,0.663425407976532
1.0,0.005,13316,8736.101688981546,0.6560605053305456
1.0,0.005,14239,9239.433076990834,0.6488821600527308
1.0,0.005,15294,9801.448353790738,0.6408688605852451
1.0,0.005,16349,10349.582481553425,0.6330407047252692
1.0,0.005,17403,10884.63847156832,0.6254460996131885
1.0,0.005,18722,11535.416046255345,0.6161422949607598
1.0,0.005,20040,12166.622258435014,0.6071168791634238
1.0,0.005,21359,12779.341011074237,0.5983117660505752
1.0,0.005,22941,13490.677603807468,0.5880597011380265
1.0,0.005,24523,14177.307629558596,0.5781228899220567
1.0,0.005,26237,14894.047420602781,0.5676734161909814
1.0,0.005,28082,15636.141013017943,0.5568029703375096
1.0,0.005,30060,16398.119605802756,0.5455129609382154
1.0,0.005,32038,17127.615452988073,0.5346031416751381
1.0,0.005,34411,17962.46545263901,0.5219977754973413
1.0,0.005,36784,18754.992110711402,0.5098682065765388
1.0,0.005,39289,19548.34957318201,0.49755273927007587
1.0,0.005,42057,20376.545943095018,0.48449832235050094
1.0,0.005,44958,21192.631640017535,0.471387331287369
1.0,0.005,48122,22026.570858856347,0.45772351229908037
1.0,0.005,51550,22868.103409015243,0.443610153424156
1.0,0.005,55110,23678.645280873465,0.4296615002880324
1.0,0.005,59065,24509.176515896856,0.41495262026406254
1.0,0.005,63152,25295.889449170572,0.40055563480444917
1.0,0.005,67503,26059.8311538306,0.38605441467535667
1.0,0.005,72249,26814.411733776433,0.3711388632891311
1.0,0.005,77391,27547.067303549567,0.3559466514652811
1.0,0.005,82796,28231.351064697203,0.34097481840544475
1.0,0.005,88597,28877.58465964557,0.3259431432175533
1.0,0.005,94793,29477.2367715799,0.31096427765320117
1.0,0.005,101385,30023.55789334696,0.2961341213527342
1.0,0.005,108505,30519.93550421717,0.2812767660865137
1.0,0.005,116152,30957.61404833752,0.26652674123852815
1.0,0.005,124194,31324.54902814722,0.25222272435179816
1.0,0.005,132895,31628.336748089274,0.23799493395605006
1.0,0.005,135005,31688.805775804296,0.2347232011836917
1.0,0.015,4219,2965.3247074189444,0.7028501321211056
