circuit_gbps,placement,regime,alpha_us,cut,applicable,retention,step_ratio,reason
3200.0,hierarchical,rail,3.0,tp,True,0.03363990584199822,29.72659925675344,
3200.0,hierarchical,rail,3.0,cp,False,,,cp has degree 1 in this job
3200.0,hierarchical,rail,3.0,pp,True,0.9255260684963313,1.0804665952031622,
3200.0,hierarchical,rail,3.0,dp,True,0.9960300783748653,1.003985744719288,
3200.0,hierarchical,rail,3.0,checkpoint,True,0.8803738521604767,1.0,
3200.0,hierarchical,campus-stitch,40.0,tp,True,0.03363329182632883,29.73244501798006,
3200.0,hierarchical,campus-stitch,40.0,cp,False,,,cp has degree 1 in this job
3200.0,hierarchical,campus-stitch,40.0,pp,True,0.9255154707969017,1.0804789671845942,
3200.0,hierarchical,campus-stitch,40.0,dp,True,0.9960185716845253,1.0039973434518805,
3200.0,hierarchical,campus-stitch,40.0,checkpoint,True,0.8803738305270892,1.0,
3200.0,hierarchical,metro,500.0,tp,True,0.033551280157183054,29.8051220494461,
3200.0,hierarchical,metro,500.0,cp,False,,,cp has degree 1 in this job
3200.0,hierarchical,metro,500.0,pp,True,0.9253837358768587,1.0806327810078027,
3200.0,hierarchical,metro,500.0,dp,True,0.9958755377304607,1.0041415439111385,
3200.0,hierarchical,metro,500.0,checkpoint,True,0.880373561571708,1.0,
3200.0,hierarchical,region,40000.0,tp,True,0.027742431498191552,36.04586714272637,
3200.0,hierarchical,region,40000.0,cp,False,,,cp has degree 1 in this job
3200.0,hierarchical,region,40000.0,pp,True,0.9142098968164509,1.0938407071311473,
3200.0,hierarchical,region,40000.0,dp,True,0.9837446286916798,1.016523974651774,
3200.0,hierarchical,region,40000.0,checkpoint,True,0.8803504681958952,1.0,
3200.0,blind,scale-up,0.5,tp,True,0.004948305006474655,202.08940206627136,
3200.0,blind,scale-up,0.5,cp,False,,,cp has degree 1 in this job
3200.0,blind,scale-up,0.5,pp,True,0.4531065551830657,2.2069863888770636,
3200.0,blind,scale-up,0.5,dp,True,0.8295436000812099,1.2054821469324852,
3200.0,blind,scale-up,0.5,checkpoint,True,0.8803738536221919,1.0,
3200.0,blind,rail,3.0,tp,True,0.0049482373071436,202.09216695333802,
3200.0,blind,rail,3.0,cp,False,,,cp has degree 1 in this job
3200.0,blind,rail,3.0,pp,True,0.4531039808364182,2.206998928047434,
3200.0,blind,rail,3.0,dp,True,0.8294751151348415,1.2055816765972993,
3200.0,blind,rail,3.0,checkpoint,True,0.8803738521604767,1.0,
3200.0,blind,campus-stitch,40.0,tp,True,0.004947235573586495,202.13308728192433,
3200.0,blind,campus-stitch,40.0,cp,False,,,cp has degree 1 in this job
3200.0,blind,campus-stitch,40.0,pp,True,0.4530658839259564,2.207184507768914,
3200.0,blind,campus-stitch,40.0,dp,True,0.8284628584319356,1.2070547156365459,
3200.0,blind,campus-stitch,40.0,checkpoint,True,0.8803738305270892,1.0,
3200.0,blind,metro,500.0,tp,True,0.004934815369862495,202.64182650218666,
3200.0,blind,metro,500.0,cp,False,,,cp has degree 1 in this job
3200.0,blind,metro,500.0,pp,True,0.45259278102657535,2.2094917151170423,
3200.0,blind,metro,500.0,dp,True,0.8160812572489361,1.2253681739623161,
3200.0,blind,metro,500.0,checkpoint,True,0.880373561571708,1.0,
3200.0,blind,region,40000.0,tp,True,0.004059643599220228,246.32704215514855,
3200.0,blind,region,40000.0,cp,False,,,cp has degree 1 in this job
3200.0,blind,region,40000.0,pp,True,0.41534955740192064,2.40761060696721,
3200.0,blind,region,40000.0,dp,True,0.3574062044982893,2.797936878023018,
3200.0,blind,region,40000.0,checkpoint,True,0.8803504681958952,1.0,
